"Name","Rank","TID","Max","ERR1398068","ERR1398076","ERR1398077","ERR1398078","ERR1398085","ERR1398089","ERR1398129","ERR1398168","ERR1398206","ERR1398221","ERR1398257","ERR1398263","Lineage"
"unclassified","U","0","186940","115369","100424","83039","88772","55431","80416","50779","115369","119824","186938","63799","113309","unclassified"
"root","-","1","42652","40449","32038","42652","35659","35630","39879","23775","40449","36358","40464","26108","39145","root"
"cellular organisms","-","131567","42632","40396","32013","42632","35649","35597","39875","23758","40396","36349","40445","26087","39132","root"
"Bacteria","D","2","42611","40358","31963","42611","35631","35589","39856","23752","40358","36306","40408","26081","39112","cellular organisms"
"FCB group","-","1783270","23265","15893","5803","20483","14224","14906","12103","9966","15893","17089","23265","13965","20890","cellular organisms>Bacteria"
"Bacteroidetes/Chlorobi group","-","68336","23258","15888","5795","20481","14220","14905","12099","9964","15888","17075","23258","13963","20884","cellular organisms>Bacteria>FCB group"
"Bacteroidetes","P","976","23228","15861","5771","20471","14213","14903","12089","9958","15861","17054","23228","13962","20873","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group"
"Bacteroidia","C","200643","23035","15764","5679","20336","14142","14789","12020","9884","15764","16831","23035","13899","20749","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes"
"Bacteroidales","O","171549","23030","15757","5676","20331","14139","14786","12019","9883","15757","16825","23030","13898","20745","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia"
"Bacteroidaceae>Bacteroides","G","816","15279","10370","1213","15279","9065","10726","6387","3956","10370","8336","13373","10952","13474","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae"
"Bacteroides thetaiotaomicron","S","818","4604","2418","207","2482","1665","4604","1750","1527","2418","2220","757","1768","3152","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides thetaiotaomicron VPI-5482","-","226186","1230","793","69","768","398","1230","558","493","793","678","211","459","942","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>Bacteroides thetaiotaomicron"
"Bacteroides ovatus","S","28116","3986","2238","69","2165","2204","2245","1392","1543","2238","990","1678","3986","3813","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides ovatus V975","-","1379690","5","1","","3","","1","1","","1","","","1","5","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>Bacteroides ovatus"
"Bacteroides dorei>Bacteroides dorei CL03T12C01","-","997877","1657","1657","39","1155","74","136","60","68","1657","227","1441","48","165","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>Bacteroides dorei"